dataset,column_name,data_type,missing_values,missing_percent,unique_values
m5_sales,d_77,int64,0,0.0,65
m5_sales,d_78,int64,0,0.0,69
m5_sales,d_79,int64,0,0.0,75
m5_sales,d_80,int64,0,0.0,62
m5_sales,d_81,int64,0,0.0,58
m5_sales,d_82,int64,0,0.0,56
m5_sales,d_83,int64,0,0.0,57
m5_sales,d_84,int64,0,0.0,68
m5_sales,d_85,int64,0,0.0,73
m5_sales,d_86,int64,0,0.0,69
m5_sales,d_87,int64,0,0.0,51
m5_sales,d_88,int64,0,0.0,52
m5_sales,d_89,int64,0,0.0,52
m5_sales,d_90,int64,0,0.0,48
m5_sales,d_91,int64,0,0.0,59
m5_sales,d_92,int64,0,0.0,70
m5_sales,d_93,int64,0,0.0,77
m5_sales,d_94,int64,0,0.0,60
m5_sales,d_95,int64,0,0.0,61
m5_sales,d_96,int64,0,0.0,53
m5_sales,d_97,int64,0,0.0,57
m5_sales,d_98,int64,0,0.0,64
m5_sales,d_99,int64,0,0.0,73
m5_sales,d_100,int64,0,0.0,67
m5_sales,d_101,int64,0,0.0,67
m5_sales,d_102,int64,0,0.0,63
m5_sales,d_103,int64,0,0.0,62
m5_sales,d_104,int64,0,0.0,63
m5_sales,d_105,int64,0,0.0,64
m5_sales,d_106,int64,0,0.0,67
m5_sales,d_107,int64,0,0.0,75
m5_sales,d_108,int64,0,0.0,59
m5_sales,d_109,int64,0,0.0,50
m5_sales,d_110,int64,0,0.0,47
m5_sales,d_111,int64,0,0.0,51
m5_sales,d_112,int64,0,0.0,60
m5_sales,d_113,int64,0,0.0,66
m5_sales,d_114,int64,0,0.0,65
m5_sales,d_115,int64,0,0.0,58
m5_sales,d_116,int64,0,0.0,55
m5_sales,d_117,int64,0,0.0,54
m5_sales,d_118,int64,0,0.0,57
m5_sales,d_119,int64,0,0.0,60
m5_sales,d_120,int64,0,0.0,63
m5_sales,d_121,int64,0,0.0,64
m5_sales,d_122,int64,0,0.0,62
m5_sales,d_123,int64,0,0.0,56
m5_sales,d_124,int64,0,0.0,64
m5_sales,d_125,int64,0,0.0,57
m5_sales,d_126,int64,0,0.0,66
m5_sales,d_127,int64,0,0.0,76
m5_sales,d_128,int64,0,0.0,79
m5_sales,d_129,int64,0,0.0,69
m5_sales,d_130,int64,0,0.0,66
m5_sales,d_131,int64,0,0.0,64
m5_sales,d_132,int64,0,0.0,65
m5_sales,d_133,int64,0,0.0,67
m5_sales,d_134,int64,0,0.0,73
m5_sales,d_135,int64,0,0.0,80
m5_sales,d_136,int64,0,0.0,67
m5_sales,d_137,int64,0,0.0,67
m5_sales,d_138,int64,0,0.0,65
m5_sales,d_139,int64,0,0.0,58
m5_sales,d_140,int64,0,0.0,65
m5_sales,d_141,int64,0,0.0,77
m5_sales,d_142,int64,0,0.0,69
m5_sales,d_143,int64,0,0.0,66
m5_sales,d_144,int64,0,0.0,68
m5_sales,d_145,int64,0,0.0,55
m5_sales,d_146,int64,0,0.0,61
m5_sales,d_147,int64,0,0.0,66
m5_sales,d_148,int64,0,0.0,65
m5_sales,d_149,int64,0,0.0,68
m5_sales,d_150,int64,0,0.0,61
m5_sales,d_151,int64,0,0.0,57
m5_sales,d_152,int64,0,0.0,58
m5_sales,d_153,int64,0,0.0,59
m5_sales,d_154,int64,0,0.0,78
m5_sales,d_155,int64,0,0.0,85
m5_sales,d_156,int64,0,0.0,80
m5_sales,d_157,int64,0,0.0,69
m5_sales,d_158,int64,0,0.0,69
m5_sales,d_159,int64,0,0.0,65
m5_sales,d_160,int64,0,0.0,65
m5_sales,d_161,int64,0,0.0,67
m5_sales,d_162,int64,0,0.0,76
m5_sales,d_163,int64,0,0.0,74
m5_sales,d_164,int64,0,0.0,68
m5_sales,d_165,int64,0,0.0,63
m5_sales,d_166,int64,0,0.0,57
m5_sales,d_167,int64,0,0.0,63
m5_sales,d_168,int64,0,0.0,66
m5_sales,d_169,int64,0,0.0,73
m5_sales,d_170,int64,0,0.0,74
m5_sales,d_171,int64,0,0.0,66
m5_sales,d_172,int64,0,0.0,57
m5_sales,d_173,int64,0,0.0,60
m5_sales,d_174,int64,0,0.0,61
m5_sales,d_175,int64,0,0.0,67
m5_sales,d_176,int64,0,0.0,75
m5_sales,d_177,int64,0,0.0,72
m5_sales,d_178,int64,0,0.0,58
m5_sales,d_179,int64,0,0.0,54
m5_sales,d_180,int64,0,0.0,55
m5_sales,d_181,int64,0,0.0,52
m5_sales,d_182,int64,0,0.0,61
m5_sales,d_183,int64,0,0.0,66
m5_sales,d_184,int64,0,0.0,69
m5_sales,d_185,int64,0,0.0,65
m5_sales,d_186,int64,0,0.0,67
m5_sales,d_187,int64,0,0.0,74
m5_sales,d_188,int64,0,0.0,63
m5_sales,d_189,int64,0,0.0,73
m5_sales,d_190,int64,0,0.0,78
m5_sales,d_191,int64,0,0.0,78
m5_sales,d_192,int64,0,0.0,72
m5_sales,d_193,int64,0,0.0,67
m5_sales,d_194,int64,0,0.0,69
m5_sales,d_195,int64,0,0.0,63
m5_sales,d_196,int64,0,0.0,72
m5_sales,d_197,int64,0,0.0,77
m5_sales,d_198,int64,0,0.0,85
m5_sales,d_199,int64,0,0.0,78
m5_sales,d_200,int64,0,0.0,69
m5_sales,d_201,int64,0,0.0,59
m5_sales,d_202,int64,0,0.0,58
m5_sales,d_203,int64,0,0.0,71
m5_sales,d_204,int64,0,0.0,80
m5_sales,d_205,int64,0,0.0,78
m5_sales,d_206,int64,0,0.0,63
m5_sales,d_207,int64,0,0.0,58
m5_sales,d_208,int64,0,0.0,59
m5_sales,d_209,int64,0,0.0,51
m5_sales,d_210,int64,0,0.0,61
m5_sales,d_211,int64,0,0.0,69
m5_sales,d_212,int64,0,0.0,73
m5_sales,d_213,int64,0,0.0,54
m5_sales,d_214,int64,0,0.0,56
m5_sales,d_215,int64,0,0.0,60
m5_sales,d_216,int64,0,0.0,66
m5_sales,d_217,int64,0,0.0,73
m5_sales,d_218,int64,0,0.0,80
m5_sales,d_219,int64,0,0.0,64
m5_sales,d_220,int64,0,0.0,71
m5_sales,d_221,int64,0,0.0,66
m5_sales,d_222,int64,0,0.0,59
m5_sales,d_223,int64,0,0.0,59
m5_sales,d_224,int64,0,0.0,69
m5_sales,d_225,int64,0,0.0,75
m5_sales,d_226,int64,0,0.0,77
m5_sales,d_227,int64,0,0.0,65
m5_sales,d_228,int64,0,0.0,62
m5_sales,d_229,int64,0,0.0,60
m5_sales,d_230,int64,0,0.0,63
m5_sales,d_231,int64,0,0.0,61
m5_sales,d_232,int64,0,0.0,68
m5_sales,d_233,int64,0,0.0,66
m5_sales,d_234,int64,0,0.0,59
m5_sales,d_235,int64,0,0.0,56
m5_sales,d_236,int64,0,0.0,61
m5_sales,d_237,int64,0,0.0,53
m5_sales,d_238,int64,0,0.0,64
m5_sales,d_239,int64,0,0.0,75
m5_sales,d_240,int64,0,0.0,81
m5_sales,d_241,int64,0,0.0,63
m5_sales,d_242,int64,0,0.0,62
m5_sales,d_243,int64,0,0.0,59
m5_sales,d_244,int64,0,0.0,61
m5_sales,d_245,int64,0,0.0,73
m5_sales,d_246,int64,0,0.0,85
m5_sales,d_247,int64,0,0.0,81
m5_sales,d_248,int64,0,0.0,76
m5_sales,d_249,int64,0,0.0,71
m5_sales,d_250,int64,0,0.0,71
m5_sales,d_251,int64,0,0.0,68
m5_sales,d_252,int64,0,0.0,74
m5_sales,d_253,int64,0,0.0,84
m5_sales,d_254,int64,0,0.0,82
m5_sales,d_255,int64,0,0.0,69
m5_sales,d_256,int64,0,0.0,70
m5_sales,d_257,int64,0,0.0,68
m5_sales,d_258,int64,0,0.0,67
m5_sales,d_259,int64,0,0.0,72
m5_sales,d_260,int64,0,0.0,82
m5_sales,d_261,int64,0,0.0,79
m5_sales,d_262,int64,0,0.0,64
m5_sales,d_263,int64,0,0.0,62
m5_sales,d_264,int64,0,0.0,58
m5_sales,d_265,int64,0,0.0,62
m5_sales,d_266,int64,0,0.0,71
m5_sales,d_267,int64,0,0.0,74
m5_sales,d_268,int64,0,0.0,72
m5_sales,d_269,int64,0,0.0,60
m5_sales,d_270,int64,0,0.0,60
m5_sales,d_271,int64,0,0.0,59
m5_sales,d_272,int64,0,0.0,62
m5_sales,d_273,int64,0,0.0,72
m5_sales,d_274,int64,0,0.0,76
m5_sales,d_275,int64,0,0.0,75
m5_sales,d_276,int64,0,0.0,59
m5_sales,d_277,int64,0,0.0,67
m5_sales,d_278,int64,0,0.0,64
m5_sales,d_279,int64,0,0.0,69
m5_sales,d_280,int64,0,0.0,70
m5_sales,d_281,int64,0,0.0,86
m5_sales,d_282,int64,0,0.0,86
m5_sales,d_283,int64,0,0.0,68
m5_sales,d_284,int64,0,0.0,69
m5_sales,d_285,int64,0,0.0,68
m5_sales,d_286,int64,0,0.0,68
m5_sales,d_287,int64,0,0.0,72
m5_sales,d_288,int64,0,0.0,83
m5_sales,d_289,int64,0,0.0,77
m5_sales,d_290,int64,0,0.0,66
m5_sales,d_291,int64,0,0.0,64
m5_sales,d_292,int64,0,0.0,59
m5_sales,d_293,int64,0,0.0,59
m5_sales,d_294,int64,0,0.0,69
m5_sales,d_295,int64,0,0.0,82
m5_sales,d_296,int64,0,0.0,76
m5_sales,d_297,int64,0,0.0,67
m5_sales,d_298,int64,0,0.0,73
m5_sales,d_299,int64,0,0.0,88
m5_sales,d_300,int64,0,0.0,78
m5_sales,d_301,int64,0,0.0,81
m5_sales,d_302,int64,0,0.0,66
m5_sales,d_303,int64,0,0.0,65
m5_sales,d_304,int64,0,0.0,57
m5_sales,d_305,int64,0,0.0,56
m5_sales,d_306,int64,0,0.0,53
m5_sales,d_307,int64,0,0.0,64
m5_sales,d_308,int64,0,0.0,76
m5_sales,d_309,int64,0,0.0,85
m5_sales,d_310,int64,0,0.0,80
m5_sales,d_311,int64,0,0.0,68
m5_sales,d_312,int64,0,0.0,68
m5_sales,d_313,int64,0,0.0,64
m5_sales,d_314,int64,0,0.0,67
m5_sales,d_315,int64,0,0.0,70
m5_sales,d_316,int64,0,0.0,75
m5_sales,d_317,int64,0,0.0,81
m5_sales,d_318,int64,0,0.0,70
m5_sales,d_319,int64,0,0.0,63
m5_sales,d_320,int64,0,0.0,71
m5_sales,d_321,int64,0,0.0,72
m5_sales,d_322,int64,0,0.0,73
m5_sales,d_323,int64,0,0.0,83
m5_sales,d_324,int64,0,0.0,74
m5_sales,d_325,int64,0,0.0,68
m5_sales,d_326,int64,0,0.0,65
m5_sales,d_327,int64,0,0.0,68
m5_sales,d_328,int64,0,0.0,70
m5_sales,d_329,int64,0,0.0,86
m5_sales,d_330,int64,0,0.0,84
m5_sales,d_331,int64,0,0.0,3
m5_sales,d_332,int64,0,0.0,66
m5_sales,d_333,int64,0,0.0,60
m5_sales,d_334,int64,0,0.0,59
m5_sales,d_335,int64,0,0.0,59
m5_sales,d_336,int64,0,0.0,77
m5_sales,d_337,int64,0,0.0,84
m5_sales,d_338,int64,0,0.0,58
m5_sales,d_339,int64,0,0.0,72
m5_sales,d_340,int64,0,0.0,68
m5_sales,d_341,int64,0,0.0,65
m5_sales,d_342,int64,0,0.0,70
m5_sales,d_343,int64,0,0.0,70
m5_sales,d_344,int64,0,0.0,81
m5_sales,d_345,int64,0,0.0,77
m5_sales,d_346,int64,0,0.0,68
m5_sales,d_347,int64,0,0.0,67
m5_sales,d_348,int64,0,0.0,68
m5_sales,d_349,int64,0,0.0,57
m5_sales,d_350,int64,0,0.0,69
m5_sales,d_351,int64,0,0.0,83
m5_sales,d_352,int64,0,0.0,80
m5_sales,d_353,int64,0,0.0,65
m5_sales,d_354,int64,0,0.0,56
m5_sales,d_355,int64,0,0.0,59
m5_sales,d_356,int64,0,0.0,56
m5_sales,d_357,int64,0,0.0,66
m5_sales,d_358,int64,0,0.0,78
m5_sales,d_359,int64,0,0.0,71
m5_sales,d_360,int64,0,0.0,57
m5_sales,d_361,int64,0,0.0,52
m5_sales,d_362,int64,0,0.0,55
m5_sales,d_363,int64,0,0.0,54
m5_sales,d_364,int64,0,0.0,67
m5_sales,d_365,int64,0,0.0,73
m5_sales,d_366,int64,0,0.0,73
m5_sales,d_367,int64,0,0.0,54
m5_sales,d_368,int64,0,0.0,59
m5_sales,d_369,int64,0,0.0,68
m5_sales,d_370,int64,0,0.0,68
m5_sales,d_371,int64,0,0.0,79
m5_sales,d_372,int64,0,0.0,85
m5_sales,d_373,int64,0,0.0,83
m5_sales,d_374,int64,0,0.0,70
m5_sales,d_375,int64,0,0.0,65
m5_sales,d_376,int64,0,0.0,67
m5_sales,d_377,int64,0,0.0,75
m5_sales,d_378,int64,0,0.0,70
m5_sales,d_379,int64,0,0.0,88
m5_sales,d_380,int64,0,0.0,90
m5_sales,d_381,int64,0,0.0,71
m5_sales,d_382,int64,0,0.0,63
m5_sales,d_383,int64,0,0.0,64
m5_sales,d_384,int64,0,0.0,54
m5_sales,d_385,int64,0,0.0,61
m5_sales,d_386,int64,0,0.0,78
m5_sales,d_387,int64,0,0.0,81
m5_sales,d_388,int64,0,0.0,66
m5_sales,d_389,int64,0,0.0,64
m5_sales,d_390,int64,0,0.0,56
m5_sales,d_391,int64,0,0.0,61
m5_sales,d_392,int64,0,0.0,72
m5_sales,d_393,int64,0,0.0,80
m5_sales,d_394,int64,0,0.0,83
m5_sales,d_395,int64,0,0.0,70
m5_sales,d_396,int64,0,0.0,59
m5_sales,d_397,int64,0,0.0,60
m5_sales,d_398,int64,0,0.0,69
m5_sales,d_399,int64,0,0.0,73
m5_sales,d_400,int64,0,0.0,88
m5_sales,d_401,int64,0,0.0,86
m5_sales,d_402,int64,0,0.0,76
m5_sales,d_403,int64,0,0.0,77
m5_sales,d_404,int64,0,0.0,69
m5_sales,d_405,int64,0,0.0,69
m5_sales,d_406,int64,0,0.0,73
m5_sales,d_407,int64,0,0.0,78
m5_sales,d_408,int64,0,0.0,90
m5_sales,d_409,int64,0,0.0,71
m5_sales,d_410,int64,0,0.0,69
m5_sales,d_411,int64,0,0.0,68
m5_sales,d_412,int64,0,0.0,72
m5_sales,d_413,int64,0,0.0,72
m5_sales,d_414,int64,0,0.0,81
m5_sales,d_415,int64,0,0.0,80
m5_sales,d_416,int64,0,0.0,65
m5_sales,d_417,int64,0,0.0,64
m5_sales,d_418,int64,0,0.0,61
m5_sales,d_419,int64,0,0.0,62
m5_sales,d_420,int64,0,0.0,68
m5_sales,d_421,int64,0,0.0,80
m5_sales,d_422,int64,0,0.0,85
m5_sales,d_423,int64,0,0.0,64
m5_sales,d_424,int64,0,0.0,59
m5_sales,d_425,int64,0,0.0,56
m5_sales,d_426,int64,0,0.0,48
m5_sales,d_427,int64,0,0.0,71
m5_sales,d_428,int64,0,0.0,77
m5_sales,d_429,int64,0,0.0,82
m5_sales,d_430,int64,0,0.0,74
m5_sales,d_431,int64,0,0.0,75
m5_sales,d_432,int64,0,0.0,68
m5_sales,d_433,int64,0,0.0,74
m5_sales,d_434,int64,0,0.0,84
m5_sales,d_435,int64,0,0.0,100
m5_sales,d_436,int64,0,0.0,91
m5_sales,d_437,int64,0,0.0,73
m5_sales,d_438,int64,0,0.0,66
m5_sales,d_439,int64,0,0.0,68
m5_sales,d_440,int64,0,0.0,65
m5_sales,d_441,int64,0,0.0,72
m5_sales,d_442,int64,0,0.0,84
m5_sales,d_443,int64,0,0.0,85
m5_sales,d_444,int64,0,0.0,62
m5_sales,d_445,int64,0,0.0,62
m5_sales,d_446,int64,0,0.0,60
m5_sales,d_447,int64,0,0.0,61
m5_sales,d_448,int64,0,0.0,66
m5_sales,d_449,int64,0,0.0,85
m5_sales,d_450,int64,0,0.0,83
m5_sales,d_451,int64,0,0.0,65
m5_sales,d_452,int64,0,0.0,61
m5_sales,d_453,int64,0,0.0,58
m5_sales,d_454,int64,0,0.0,62
m5_sales,d_455,int64,0,0.0,64
m5_sales,d_456,int64,0,0.0,76
m5_sales,d_457,int64,0,0.0,77
m5_sales,d_458,int64,0,0.0,64
m5_sales,d_459,int64,0,0.0,66
m5_sales,d_460,int64,0,0.0,69
m5_sales,d_461,int64,0,0.0,76
m5_sales,d_462,int64,0,0.0,74
m5_sales,d_463,int64,0,0.0,87
m5_sales,d_464,int64,0,0.0,87
m5_sales,d_465,int64,0,0.0,78
m5_sales,d_466,int64,0,0.0,71
m5_sales,d_467,int64,0,0.0,68
m5_sales,d_468,int64,0,0.0,73
m5_sales,d_469,int64,0,0.0,79
m5_sales,d_470,int64,0,0.0,93
m5_sales,d_471,int64,0,0.0,83
m5_sales,d_472,int64,0,0.0,76
m5_sales,d_473,int64,0,0.0,76
m5_sales,d_474,int64,0,0.0,71
m5_sales,d_475,int64,0,0.0,64
m5_sales,d_476,int64,0,0.0,81
m5_sales,d_477,int64,0,0.0,86
m5_sales,d_478,int64,0,0.0,86
m5_sales,d_479,int64,0,0.0,62
m5_sales,d_480,int64,0,0.0,68
m5_sales,d_481,int64,0,0.0,62
m5_sales,d_482,int64,0,0.0,66
m5_sales,d_483,int64,0,0.0,80
m5_sales,d_484,int64,0,0.0,83
m5_sales,d_485,int64,0,0.0,82
m5_sales,d_486,int64,0,0.0,80
m5_sales,d_487,int64,0,0.0,69
m5_sales,d_488,int64,0,0.0,63
m5_sales,d_489,int64,0,0.0,66
m5_sales,d_490,int64,0,0.0,80
m5_sales,d_491,int64,0,0.0,92
m5_sales,d_492,int64,0,0.0,90
m5_sales,d_493,int64,0,0.0,75
m5_sales,d_494,int64,0,0.0,72
m5_sales,d_495,int64,0,0.0,79
m5_sales,d_496,int64,0,0.0,71
m5_sales,d_497,int64,0,0.0,79
m5_sales,d_498,int64,0,0.0,91
m5_sales,d_499,int64,0,0.0,98
m5_sales,d_500,int64,0,0.0,85
m5_sales,d_501,int64,0,0.0,77
m5_sales,d_502,int64,0,0.0,67
m5_sales,d_503,int64,0,0.0,75
m5_sales,d_504,int64,0,0.0,93
m5_sales,d_505,int64,0,0.0,94
m5_sales,d_506,int64,0,0.0,94
m5_sales,d_507,int64,0,0.0,73
m5_sales,d_508,int64,0,0.0,71
m5_sales,d_509,int64,0,0.0,68
m5_sales,d_510,int64,0,0.0,69
m5_sales,d_511,int64,0,0.0,85
m5_sales,d_512,int64,0,0.0,86
m5_sales,d_513,int64,0,0.0,90
m5_sales,d_514,int64,0,0.0,73
m5_sales,d_515,int64,0,0.0,70
m5_sales,d_516,int64,0,0.0,67
m5_sales,d_517,int64,0,0.0,70
m5_sales,d_518,int64,0,0.0,83
m5_sales,d_519,int64,0,0.0,88
m5_sales,d_520,int64,0,0.0,81
m5_sales,d_521,int64,0,0.0,80
m5_sales,d_522,int64,0,0.0,91
m5_sales,d_523,int64,0,0.0,77
m5_sales,d_524,int64,0,0.0,78
m5_sales,d_525,int64,0,0.0,91
m5_sales,d_526,int64,0,0.0,91
m5_sales,d_527,int64,0,0.0,87
m5_sales,d_528,int64,0,0.0,75
m5_sales,d_529,int64,0,0.0,68
m5_sales,d_530,int64,0,0.0,77
m5_sales,d_531,int64,0,0.0,73
m5_sales,d_532,int64,0,0.0,76
m5_sales,d_533,int64,0,0.0,88
m5_sales,d_534,int64,0,0.0,92
m5_sales,d_535,int64,0,0.0,76
m5_sales,d_536,int64,0,0.0,74
m5_sales,d_537,int64,0,0.0,67
m5_sales,d_538,int64,0,0.0,66
m5_sales,d_539,int64,0,0.0,73
m5_sales,d_540,int64,0,0.0,86
m5_sales,d_541,int64,0,0.0,85
m5_sales,d_542,int64,0,0.0,70
m5_sales,d_543,int64,0,0.0,66
m5_sales,d_544,int64,0,0.0,67
m5_sales,d_545,int64,0,0.0,66
m5_sales,d_546,int64,0,0.0,72
m5_sales,d_547,int64,0,0.0,77
m5_sales,d_548,int64,0,0.0,76
m5_sales,d_549,int64,0,0.0,65
m5_sales,d_550,int64,0,0.0,68
m5_sales,d_551,int64,0,0.0,75
m5_sales,d_552,int64,0,0.0,81
m5_sales,d_553,int64,0,0.0,87
m5_sales,d_554,int64,0,0.0,84
m5_sales,d_555,int64,0,0.0,90
m5_sales,d_556,int64,0,0.0,83
m5_sales,d_557,int64,0,0.0,74
m5_sales,d_558,int64,0,0.0,78
m5_sales,d_559,int64,0,0.0,80
m5_sales,d_560,int64,0,0.0,84
m5_sales,d_561,int64,0,0.0,95
m5_sales,d_562,int64,0,0.0,94
m5_sales,d_563,int64,0,0.0,80
m5_sales,d_564,int64,0,0.0,76
m5_sales,d_565,int64,0,0.0,76
m5_sales,d_566,int64,0,0.0,75
m5_sales,d_567,int64,0,0.0,77
m5_sales,d_568,int64,0,0.0,81
m5_sales,d_569,int64,0,0.0,86
m5_sales,d_570,int64,0,0.0,69
m5_sales,d_571,int64,0,0.0,67
m5_sales,d_572,int64,0,0.0,59
m5_sales,d_573,int64,0,0.0,59
m5_sales,d_574,int64,0,0.0,72
m5_sales,d_575,int64,0,0.0,82
m5_sales,d_576,int64,0,0.0,82
m5_sales,d_577,int64,0,0.0,69
m5_sales,d_578,int64,0,0.0,69
m5_sales,d_579,int64,0,0.0,63
m5_sales,d_580,int64,0,0.0,68
m5_sales,d_581,int64,0,0.0,78
m5_sales,d_582,int64,0,0.0,84
m5_sales,d_583,int64,0,0.0,93
m5_sales,d_584,int64,0,0.0,93
m5_sales,d_585,int64,0,0.0,75
m5_sales,d_586,int64,0,0.0,70
m5_sales,d_587,int64,0,0.0,73
m5_sales,d_588,int64,0,0.0,73
m5_sales,d_589,int64,0,0.0,83
m5_sales,d_590,int64,0,0.0,88
m5_sales,d_591,int64,0,0.0,72
m5_sales,d_592,int64,0,0.0,69
m5_sales,d_593,int64,0,0.0,72
m5_sales,d_594,int64,0,0.0,67
m5_sales,d_595,int64,0,0.0,80
m5_sales,d_596,int64,0,0.0,91
m5_sales,d_597,int64,0,0.0,81
m5_sales,d_598,int64,0,0.0,61
m5_sales,d_599,int64,0,0.0,59
m5_sales,d_600,int64,0,0.0,56
m5_sales,d_601,int64,0,0.0,62
m5_sales,d_602,int64,0,0.0,67
m5_sales,d_603,int64,0,0.0,83
m5_sales,d_604,int64,0,0.0,80
m5_sales,d_605,int64,0,0.0,63
m5_sales,d_606,int64,0,0.0,62
m5_sales,d_607,int64,0,0.0,60
m5_sales,d_608,int64,0,0.0,55
m5_sales,d_609,int64,0,0.0,68
m5_sales,d_610,int64,0,0.0,83
m5_sales,d_611,int64,0,0.0,84
m5_sales,d_612,int64,0,0.0,73
m5_sales,d_613,int64,0,0.0,79
m5_sales,d_614,int64,0,0.0,70
m5_sales,d_615,int64,0,0.0,66
m5_sales,d_616,int64,0,0.0,70
m5_sales,d_617,int64,0,0.0,84
m5_sales,d_618,int64,0,0.0,76
m5_sales,d_619,int64,0,0.0,75
m5_sales,d_620,int64,0,0.0,70
m5_sales,d_621,int64,0,0.0,67
m5_sales,d_622,int64,0,0.0,67
m5_sales,d_623,int64,0,0.0,73
m5_sales,d_624,int64,0,0.0,79
m5_sales,d_625,int64,0,0.0,86
m5_sales,d_626,int64,0,0.0,72
m5_sales,d_627,int64,0,0.0,60
m5_sales,d_628,int64,0,0.0,59
m5_sales,d_629,int64,0,0.0,61
m5_sales,d_630,int64,0,0.0,62
m5_sales,d_631,int64,0,0.0,69
m5_sales,d_632,int64,0,0.0,73
m5_sales,d_633,int64,0,0.0,58
m5_sales,d_634,int64,0,0.0,58
m5_sales,d_635,int64,0,0.0,61
m5_sales,d_636,int64,0,0.0,53
m5_sales,d_637,int64,0,0.0,63
m5_sales,d_638,int64,0,0.0,75
m5_sales,d_639,int64,0,0.0,73
m5_sales,d_640,int64,0,0.0,58
